Status,EURING_Code,Current_Name,Date_Updated,Notes,Old_Name,IOC14_1
,17260,Leiothlypis ruficapilla,02.06.08,,Vermivora ruficapilla,35830
,17270,Leiothlypis virginiae,02.06.08,,Vermivora virginiae,35833
,17280,Leiothlypis crissalis,02.06.08,,Vermivora crissalis,35828
,17290,Leiothlypis luciae,02.06.08,,Vermivora luciae,35829
,17300,Oreothlypis superciliosa,02.06.08,,Vermivora superciliosa,35815
,17310,Setophaga pitiayumi,02.06.08,,Parula pitiayumi,35900
,17320,Setophaga americana,02.06.08,,Parula americana,35899
,17330,Setophaga aestiva,02.06.08,,Dendroica petechia,35919
,17340,Setophaga pensylvanica,02.06.08,,Dendroica pensylvanica,35965
,17350,Setophaga cerulea,02.06.08,,Dendroica cerulea,35898
,17360,Setophaga caerulescens,02.06.08,,Dendroica caerulescens,35967
,17370,Setophaga pinus,02.06.08,,Dendroica pinus,35974
,17380,Setophaga graciae,02.06.08,,Dendroica graciae,36006
,17390,Setophaga pityophila,02.06.08,,Dendroica pityophila,35973
,17400,Setophaga dominica,02.06.08,,Dendroica dominica,35987
,17410,Setophaga kirtlandii,02.06.08,,Dendroica kirtlandii,35896
,17420,Setophaga nigrescens,02.06.08,,Dendroica nigrescens,36011
,17430,Setophaga occidentalis,02.06.08,,Dendroica occipitalis,36015
,17440,Setophaga townsendi,02.06.08,,Dendroica townsendi,36014
,17450,Setophaga virens,02.06.08,,Dendroica virens,36017
,17460,Setophaga chrysoparia,02.06.08,,Dendroica chrysoparia,36016
,17470,Setophaga fusca,02.06.08,,Dendroica fusca,35918
,17480,Setophaga discolor,02.06.08,,Dendroica discolor,35997
,17490,Setophaga tigrina,02.06.08,,Dendroica tigrina,35897
,17500,Setophaga magnolia,02.06.08,,Dendroica magnolia,35916
,17510,Setophaga coronata,02.06.08,,Dendroica coronata,35979
,17520,Setophaga palmarum,02.06.08,,Dendroica palmarum,35970
,17530,Setophaga striata,02.06.08,,Dendroica striata,35966
,17540,Setophaga castanea,02.06.08,,Dendroica castanea,35917
,17550,Setophaga ruticilla,02.06.08,,Setophaga ruticilla,35895
,17560,Seiurus aurocapilla,02.06.08,,Seiurus aurocapillus,35799
,17570,Parkesia noveboracensis,02.06.08,,Seiurus noveboracensis,35805
,17580,Parkesia motacilla,02.06.08,,Seiurus motacilla,35804
,17590,Limnothlypis swainsonii,02.06.08,,Helmitheros swainsonii,35814
,17600,Helmitheros vermivorum,02.06.08,,Helmitheros vermivorus,35803
,17610,Protonotaria citrea,02.06.08,,Protonotaria citrea,35813
,17620,Geothlypis trichas,02.06.08,,Geothlypis trichas,35873
,17630,Geothlypis rostrata,02.06.08,,Geothlypis rostrata,35867
,17640,Geothlypis speciosa,02.06.08,,Geothlypis speciosa,35861
,17650,Geothlypis nelsoni,02.06.08,,Geothlypis nelsoni,35887
,17660,Geothlypis poliocephala,02.06.08,,Chamaethlypis poliocephala,35836
,17670,Geothlypis formosa,02.06.08,,Oporornis formosus,35856
,17680,Oporornis agilis,02.06.08,,Oporornis agilis,35835
,17690,Geothlypis philadelphia,02.06.08,,Oporornis philadelphia,35855
,17700,Geothlypis tolmiei,02.06.08,,Oporornis tolmiei,35852
,17710,Setophaga citrina,02.06.08,,Wilsonia citrina,35894
,17720,Cardellina pusilla,02.06.08,,Wilsonia pusilla,36144
,17730,Cardellina canadensis,02.06.08,,Wilsonia canadensis,36143
,17740,Cardellina rubrifrons,02.06.08,,Cardinella rubrifrons,36148
,17750,Cardellina rubra,02.06.08,,Ergaticus ruber,36149
,17760,Myioborus pictus,02.06.08,,Myioborus pictus,36154
,17770,Myioborus miniatus,02.06.08,,Myioborus miniatus,36157
,17780,Basileuterus lachrymosus,02.06.08,,Euthlypis lachrymosa,36079
,17790,Basileuterus culicivorus,02.06.08,,Basileuterus culicivorus,36105
,17800,Basileuterus rufifrons,02.06.08,,Basileuterus rufifrons,36083
,17810,Peucedramus taeniatus,02.06.08,,Peucedramus taeniatus,33502
,17820,Icteria virens,02.06.08,,Icteria virens,35436
,17830,Coereba flaveola,02.06.08,,Coereba flaveola,36621
,17840,Piranga bidentata,02.06.08,,Piranga bidentata,36200
,17850,Piranga flava,02.06.08,,Piranga flava,36213
,17860,Piranga rubra,02.06.08,,Piranga rubra,36224
,17870,Piranga ludoviciana,02.06.08,,Piranga ludoviciana,36232
,17880,Piranga olivacea,02.06.08,,Piranga olivacea,36231
,17890,Piranga erythrocephala,02.06.08,,Piranga erythrocephala,36238
,17900,Spindalis zena,02.06.08,,Spindalis zena,35419
,17910,Euphonia affinis,02.06.08,,Euphonia affinis,34506
,17920,Euphonia elegantissima,02.06.08,,Euphonia elegantissima,NA
,17930,Diglossa baritula,02.06.08,,Diglossa baritula,37248
,17940,Atlapetes pileatus,02.06.08,,Atlapetes pileatus,35310
,17950,Arremon torquatus,02.06.08,,Atlapetes torquatus,34940
,17960,Arremonops rufivirgatus,02.06.08,,Arremonops rufivirgatus,34859
,17970,Pipilo chlorurus,02.06.08,,Pipilo chlorurus,35273
,17980,Pipilo erythrophthalmus,02.06.08,,Pipilo erythrophthalmus,35298
,17990,Melozone fusca,02.06.08,,Pipilo fuscus,35207
,18000,Melozone aberti,02.06.08,,Pipilo aberti,35222
,18010,Melozone kieneri,02.06.08,,Melozone kieneri,35203
,18020,Phonipara canora,02.06.08,,Tiaris canora,36686
,18030,Melanospiza bicolor,02.06.08,,Tiaris bicolor,36699
,18040,Sporophila torqueola,02.06.08,,Sporophila torqueola,36866
,18050,Volatinia jacarina,02.06.08,,Volatinia jacarina,36762
,18060,Amphispiza bilineata,02.06.08,,Aimophila bilineata,34884
,18070,Artemisiospiza belli,02.06.08,,Aimophila belli,35089
,18080,Peucaea mystacalis,02.06.08,,Aimophila mystacalis,34820
,18090,Peucaea botterii,02.06.08,,Aimophila botterii,34821
,18100,Peucaea cassinii,02.06.08,,Aimophila cassinii,34831
,18110,Peucaea aestivalis,02.06.08,,Aimophila aestivalis,34832
,18120,Amphispiza quinquestriata,02.06.08,,Aimophila quinquestriata,NA
,18130,Peucaea carpalis,02.06.08,,Aimophila carpalis,34808
,18140,Aimophila ruficeps,02.06.08,,Aimophila ruficeps,35253
,18150,Aimophila rufescens,02.06.08,,Aimophila rufescens,35245
,18160,Oriturus superciliosus,02.06.08,,Oriturus superciliosus,35094
,18170,Spizelloides arborea,02.06.08,,Spizella arborea,35017
,18180,Spizella passerina,02.06.08,,Spizella passerina,34899
,18190,Spizella pallida,02.06.08,,Spizella pallida,34906
,18200,Spizella breweri,02.06.08,,Spizella breweri,34915
,18210,Spizella pusilla,02.06.08,,Spizella pusilla,34912
,18220,Spizella wortheni,02.06.08,,Spizella wortheni,34919
,18230,Spizella atrogularis,02.06.08,,Spizella atrogularis,34907
,18240,Chondestes grammacus,02.06.08,,Chondestes grammacus,34895
,18250,Pooecetes gramineus,02.06.08,,Pooecetes gramineus,35097
,18260,Passerculus sandwichensis,02.06.08,,Ammodramus sandwichensis,35124
,18270,Centronyx bairdii,02.06.08,,Ammodramus bairdii,35120
,18280,Ammodramus savannarum,02.06.08,,Ammodramus savannarum,34836
,18290,Ammospiza leconteii,02.06.08,,Ammodramus leconteii,35102
,18300,Ammospiza caudacuta,02.06.08,,Ammodramus caudacutus,35117
,18310,Ammospiza maritima,02.06.08,,Ammodramus maritimus,35103
,18320,Xenospiza baileyi,02.06.08,,Ammodramus baileyi,35149
,18330,Centronyx henslowii,02.06.08,,Ammodramus henslowii,35121
,18340,Passerella iliaca,02.06.08,,Zonotrichia iliaca,35014
,18341,Passerella iliaca iliaca,02.06.08,,Zonotrichia iliaca iliaca,35016
,18350,Melospiza melodia,02.06.08,,Melospiza melodia,35150
,18360,Melospiza lincolnii,02.06.08,,Zonotrichia lincolnii,35190
,18370,Melospiza georgiana,02.06.08,,Zonotrichia georgiana,35194
,18380,Zonotrichia querula,02.06.08,,Zonotrichia querula,35085
,18390,Zonotrichia leucophrys,02.06.08,,Zonotrichia leucophrys,35078
